Gene ID	Description (SWISS PROT)	Description (Araport11)	xref_id	Hot_F1	Hot_F2	Hot_F3	Hot_F4	Hot_P1	Hot_P2	Hot_P3	Hot_P4
Locus_1416_Transcript_12/34	Mitochondrial uncoupling protein 4	dicarboxylate carrier 2	AT2G22500	7141.849457	6140.643261	8321.53317	8253.61378	1293.382238	1215.502863	1566.123323	1435.618715
Locus_521_Transcript_76/85	Glyceraldehyde-3-phosphate dehydrogenase, cytosolic	glyceraldehyde-3-phosphate dehydrogenase C2	AT1G13440	4225.588666	5935.249441	4390.858932	4032.104299	3625.318683	3843.480643	3908.428481	3732.241182
Locus_2126_Transcript_7/15	Ubiquinol oxidase 1, mitochondrial	alternative oxidase 1A	AT3G22370	5166.053119	5268.334316	5176.89502	5254.586295	926.5549874	864.5923868	864.5479892	1004.45305
Locus_110_Transcript_12/119	Phosphoenolpyruvate carboxylase, housekeeping isozyme	phosphoenolpyruvate carboxylase 3	AT3G14940	4989.937077	4895.540154	5094.71544	5300.820091	1774.319536	1201.233158	1374.050606	1713.476008
Locus_627_Transcript_6/21	Senescence-specific cysteine protease SAG39	Cysteine proteinases superfamily protein	AT1G06260	13.37523166	4712.022979	1614.599624	295.247876	52.89236523	99.14655613	31.83729537	2.395145493
Locus_978_Transcript_1/55	Polyubiquitin 11	ubiquitin 11	AT4G02890	4931.372353	4603.791121	4493.179399	4588.648649	5477.764969	4864.303202	4536.600873	4580.273569
Locus_415_Transcript_10/27	Aspartic proteinase oryzasin-1	aspartic proteinase A1	AT1G11910	1731.012948	4228.460697	3586.086948	3416.42983	1839.21804	1618.150079	1229.632258	1309.86191
Locus_20719_Transcript_18/18	Malate dehydrogenase, mitochondrial	Lactate/malate dehydrogenase family protein	AT1G53240	2283.454511	3690.359417	3087.409841	2553.437638	1397.841706	1702.140808	2005.439583	2119.788446
Locus_6_Transcript_14/36	Serine carboxypeptidase 3	SERINE CARBOXYPEPTIDASE-LIKE 49	AT3G10410	702.881618	3485.32657	2741.23596	1966.509655	755.8512639	807.0641394	788.2874501	744.4423637
Locus_1856_Transcript_14/60	Iron-sulfur cluster assembly protein 1	SufE/NifU family protein	AT4G22220	4017.86667	3450.440743	2446.131647	2518.648899	2071.487953	1849.313483	1438.6037	1642.76119
Locus_175_Transcript_384/384	Cysteine proteinase RD21A	Granulin repeat cysteine protease family protein	AT1G47128	3193.122659	3391.944227	3210.124753	3669.978628	396.1423766	1276.118784	819.5133518	808.4465453
Locus_293_Transcript_4/21	Fructose-1,6-bisphosphatase, cytosolic	Inositol monophosphatase family protein	AT1G43670	2219.43404	3388.488827	2164.885108	2245.73616	390.44858	342.1070596	279.0908415	340.3901208
Locus_277_Transcript_4/73	Elongation factor 1-alpha	GTP binding Elongation factor Tu family protein	AT1G07920	2435.002671	3330.88756	3198.427368	3001.528032	3618.229805	3459.630034	4164.387505	4014.297032
Locus_776_Transcript_25/35	Auxin response factor 8	auxin response factor 8	AT5G37020	3685.970096	3151.957482	4033.312151	3709.086222	3535.258441	3046.843267	3319.558039	3552.032082
Locus_277_Transcript_65/73	Elongation factor 1-alpha	GTP binding Elongation factor Tu family protein	AT1G07920	1954.497532	3103.226258	3082.657886	2987.608076	4384.282291	4379.482279	5335.92122	4892.676436
Locus_270_Transcript_88/405	Agamous-like MADS-box protein TM6	K-box region and MADS-box transcription factor family protein	AT3G54340	4883.766888	3100.241155	4137.328628	4318.32752	453.7894571	378.2575262	380.4634444	500.9949358
Locus_24_Transcript_874/1190	L-ascorbate peroxidase, cytosolic	ascorbate peroxidase 1	AT3G09640	1785.979043	3090.655811	2735.831692	2328.373065	2277.023635	2961.275282	2493.453395	2256.68892
Locus_5964_Transcript_2/13	Late embryogenesis abundant protein D-7	Late embryogenesis abundant protein (LEA) family protein		16.47617315	3071.93599	286.3358113	67.8234973	56.68685073	234.3213651	32.82404978	20.05041397
Locus_2569_Transcript_9/12	60S ribosomal protein L23A	ribosomal protein L23AB	AT3G55280	2636.566951	2986.924544	2977.72454	2855.945896	4081.343883	4626.050085	4300.624863	4458.156134
Locus_24_Transcript_762/1190	Internal alternative NAD(P)H-ubiquinone oxidoreductase A1, mitochondrial	alternative NAD(P)H dehydrogenase 1	AT1G07180	2626.439811	2948.997466	4020.95298	4088.781351	396.5592287	387.8769732	445.4995775	547.1960034
Locus_24_Transcript_1173/1190	Putative aconitate hydratase, cytoplasmic	aconitase 3		1944.546841	2927.217497	2006.943556	1970.033389	434.3464051	396.1705936	425.2189714	470.4467444
Locus_24_Transcript_1179/1190	Aconitate hydratase 3, mitochondrial	aconitase 3	AT2G05710	2239.493771	2894.331855	2145.671916	2057.544613	411.3909893	392.9689171	400.581222	449.3344388
Locus_1235_Transcript_21/27	60S ribosomal protein L17-2	Ribosomal protein L22p/L17e family protein		2676.095704	2855.045009	2920.008822	2876.583347	3685.234153	3834.436339	3689.708296	3441.414245
Locus_292_Transcript_8/20	Succinate dehydrogenase subunit 6, mitochondrial	succinate dehydrogenase subunit	AT1G08480	3957.046922	2809.805673	1880.454911	1763.626328	2225.135973	1766.555132	1300.286577	1318.377782
Locus_391_Transcript_71/79	Triosephosphate isomerase, cytosolic	triosephosphate isomerase	AT3G55440	2431.00672	2704.549647	2794.977431	2502.217614	1635.759912	1369.728377	1934.405297	1960.82685
Locus_702_Transcript_3/10	Ubiquitin-40S ribosomal protein S27a	ubiquitin 6		2646.527584	2466.901331	2356.53586	2300.237229	2488.068122	2341.694312	2274.356678	2352.04305
Locus_3688_Transcript_16/18	Heavy metal-associated isoprenylated plant protein 9	Heavy metal transport/detoxification superfamily protein	AT5G24580	5410.436867	2456.43067	3134.756893	3698.79341	661.5566486	592.609759	503.6163005	518.3448464
Locus_521_Transcript_71/85	Glyceraldehyde-3-phosphate dehydrogenase, cytosolic	glyceraldehyde-3-phosphate dehydrogenase C2	AT1G13440	1406.661758	2384.007355	2109.328682	1980.712553	1027.26899	1137.082952	1310.001844	1189.851662
Locus_467_Transcript_4/27	Probable galactinol--sucrose galactosyltransferase 6	Raffinose synthase family protein	AT5G20250	2698.732966	2325.344434	2174.219086	2118.605411	847.9589582	709.4907221	683.1538598	523.1849055
Locus_5830_Transcript_12/12	Gibberellin-regulated protein 2	GAST1 protein homolog 2		828.764428	2264.646397	961.0906342	1144.559755	59.30204402	62.96460938	55.36440263	20.93596091
Locus_4561_Transcript_3/12	Defensin-like protein P322	low-molecular-weight cysteine-rich 69	AT2G02100	1188.483876	2218.867728	2189.318567	1623.11379	4514.030443	6320.249308	6295.616123	4788.349487
Locus_2804_Transcript_3/16	GTP-binding nuclear protein Ran-3	RAN GTPase 3	AT5G20010	2221.344869	2198.006266	2291.800319	2254.753955	2932.072466	2354.943131	2819.458512	2597.243631
Locus_99_Transcript_22/25	2,3-bisphosphoglycerate-independent phosphoglycerate mutase	Phosphoglycerate mutase%2C 2%2C3-bisphosphoglycerate-independent	AT3G08590	1985.954334	2188.524685	2033.239742	1993.102703	1191.869082	1190.479158	1158.012973	1212.777275
Locus_1166_Transcript_14/14	3-ketoacyl-CoA thiolase 2, peroxisomal	peroxisomal 3-ketoacyl-CoA thiolase 3	AT2G33150	1546.469758	2168.949872	1810.970811	1735.284927	783.3577415	833.5802674	713.3691654	733.112827
Locus_1757_Transcript_18/60	RNA demethylase ALKBH10B	oxidoreductase%2C 2OG-Fe(II) oxygenase family protein	AT4G02940	3032.174954	1997.036191	2945.364082	3041.448232	1012.643761	724.9905706	1081.301698	1341.876579
Locus_530_Transcript_15/15	ATP synthase subunit gamma, mitochondrial	gamma subunit of Mt ATP synthase	AT2G33040	1915.285761	1922.259874	1954.196646	1843.559997	1245.071381	1178.095208	1193.342583	1230.404474
Locus_2889_Transcript_12/17	Serine/threonine-protein kinase PBL34	Protein kinase superfamily protein	AT5G15080	3284.344628	1880.188888	751.3108045	1828.511793	2496.290606	1573.058015	1527.455675	2122.926314
Locus_5_Transcript_5/44	Cysteine proteinase inhibitor 6	cystatin B	AT3G12490	1540.940093	1812.795387	1019.542112	1083.478698	915.8176449	1135.76238	636.4507181	726.192243
Locus_261_Transcript_159/172	Heat shock 70 kDa protein 1	heat shock cognate protein 70-1	AT5G02500	1661.793156	1772.545958	1777.896674	1551.175529	4472.117685	4731.53021	3387.981392	3828.552231
Locus_539_Transcript_8/24	Kunitz trypsin inhibitor 5	Kunitz family trypsin and protease inhibitor protein		1002.695544	1744.822294	1011.527938	1205.009871	164.914711	165.1385433	143.2034629	147.5078621
Locus_631_Transcript_8/23	Superoxide dismutase [Mn], mitochondrial	manganese superoxide dismutase 1	AT3G10920	1799.006	1717.584413	1564.54363	1533.230998	781.9112694	796.944171	801.5341645	902.5608801
Locus_651_Transcript_5/18	60S ribosomal protein L32-1	Ribosomal protein L32e		1826.065956	1670.695073	1684.975668	1667.96039	3257.115426	2621.57897	2619.20323	2742.1713
Locus_1553_Transcript_31/32	70 kDa peptidyl-prolyl isomerase	FKBP-type peptidyl-prolyl cis-trans isomerase family protein	AT5G48570	2372.408966	1595.33641	1945.294082	1730.481191	2862.657028	2450.85679	2630.741366	2424.774957
Locus_988_Transcript_12/14	Acyl-CoA-binding domain-containing protein 3	acyl-CoA-binding protein 6	AT1G31812	1315.846071	1549.198235	1456.309913	1518.769695	606.6846332	686.6020329	676.7484038	672.9281602
Locus_6176_Transcript_2/19	Suppressor of disruption of TFIIS	Haloacid dehalogenase-like hydrolase (HAD) superfamily protein	AT3G62040	1314.846057	1516.057445	553.6227557	598.2204291	410.651308	176.8806782	111.0772459	154.1437211
Locus_71_Transcript_2/9	Probable non-specific lipid-transfer protein AKCS9	Bifunctional inhibitor/lipid-transfer protein/seed storage 2S albumin superfamily protein		36.09032489	1475.486039	622.9877948	154.4798057	53.24546778	49.26725489	19.92422089	22.49347634
Locus_192_Transcript_10/25	Agamous-like MADS-box protein MADS9	K-box region and MADS-box transcription factor family protein	AT5G20240	1698.743103	1469.206408	1581.113076	1513.946363	1251.487943	1072.927585	875.2890372	1257.818874
Locus_1981_Transcript_22/25	Polyubiquitin 4	ubiquitin 4	AT4G05320	1773.837223	1411.29524	1635.266472	1689.539488	2079.158868	1765.218971	1562.809433	1767.018922
Locus_13258_Transcript_7/8	Succinate dehydrogenase [ubiquinone] iron-sulfur subunit 2, mitochondrial	succinate dehydrogenase 2-2	AT5G40650	1640.007935	1407.86826	1566.40034	1451.147213	941.7124689	854.9911081	807.0434157	1059.30529
Locus_1569_Transcript_3/17	40S ribosomal protein S3a	Ribosomal protein S3Ae	AT4G34670	955.3845408	1376.725732	1513.334289	1464.2514	1594.207077	1397.853341	1796.428914	1641.757712
Locus_1344_Transcript_3/26	40S ribosomal protein S17	Ribosomal S17 family protein		749.9148436	1372.288478	1157.405787	961.6082649	1001.384294	1180.08739	1140.531535	1048.22582
Locus_527_Transcript_17/34	Acyl-coenzyme A thioesterase 2, chloroplastic	Thioesterase/thiol ester dehydrase-isomerase superfamily protein	AT5G48370	1160.587405	1350.771887	779.3048192	784.0855166	281.6474753	257.8572652	192.6823931	248.9539473
Locus_228_Transcript_3/16	ADP-ribosylation factor	ADP-ribosylation factor A1B	AT5G14670	1043.088291	1342.099061	1382.432942	1406.020858	2591.975753	2614.654004	2647.986911	2688.41933
Locus_250_Transcript_9/20	MYB-like transcription factor EOBII	myb domain protein 24	AT5G40350	1249.412162	1339.330435	1488.226006	1465.547923	127.5366796	140.9247116	137.8698404	173.1585269
Locus_1553_Transcript_9/32	Peptidyl-prolyl cis-trans isomerase FKBP62	rotamase FKBP 1	AT5G48570	1463.150357	1321.917152	1395.487553	1280.907102	998.7229288	990.8629632	1018.601015	937.6483724
Locus_139_Transcript_2/4	S-adenosylmethionine decarboxylase proenzyme	S-adenosylmethionine decarboxylase	AT3G02470	1406.73689	1303.914892	1074.465851	1144.283462	733.2537915	676.5337486	727.1129709	564.5348029
Locus_1750_Transcript_4/15	Ethylene-responsive transcription factor 1	related to AP2 2	AT3G14230	989.9826576	1284.602567	1305.131104	1283.943314	822.4567113	831.1281995	750.049924	796.7362352
Locus_642_Transcript_2/7	Short-chain dehydrogenase reductase 3b	NAD(P)-binding Rossmann-fold superfamily protein	AT2G47140	484.8708265	1260.462846	530.2996676	522.1014649	96.50153319	153.8509475	85.66559664	95.23406063
Locus_977_Transcript_1/4	Peptidyl-prolyl cis-trans isomerase	rotamase CYP 3		658.6770022	1243.339981	1013.84663	918.5077984	1417.416983	1410.746168	1311.570319	1234.289095
Locus_481_Transcript_5/11	Acireductone dioxygenase 2	acireductone dioxygenase 1	AT4G14716	1072.962199	1215.827544	1106.31886	1116.788095	615.2726688	571.8481693	457.2051933	501.4763902
Locus_527_Transcript_9/34	Vicilin-like seed storage protein At2g28490	RmlC-like cupins superfamily protein	AT2G28490	2.272249151	1172.638998	341.5961194	83.09149565	12.64333087	81.53411116	17.20438377	2.712512028
Locus_2721_Transcript_3/46	40S ribosomal protein S11	ribosomal protein S11-beta		755.748972	1138.070242	1243.336531	1079.603092	1266.904176	1372.100017	1598.226979	1303.895897
Locus_1277_Transcript_4/9	Late embryogenesis abundant protein 1	Late embryogenesis abundant protein (LEA) family protein		7.160157511	1129.598521	395.2060226	113.6677592	19.76402177	96.15210163	26.16835857	7.307428667
Locus_2604_Transcript_3/19	Glyoxylase I 4	Lactoylglutathione lyase / glyoxalase I family protein		593.8450078	1098.878159	674.1901279	720.1277251	58.59382731	80.88846842	36.9376918	47.15771382
Locus_552_Transcript_17/18	Bidirectional sugar transporter SWEET6b	Nodulin MtN3 family protein	AT5G62850	915.797945	1091.718444	1931.489018	1833.080186	164.5667314	90.5079575	93.42332621	52.51728415
Locus_2961_Transcript_32/41	Ketol-acid reductoisomerase, chloroplastic	ketol-acid reductoisomerase	AT3G58610	1174.105849	1077.904161	1408.507071	1354.992985	2216.845266	1671.571303	2136.088592	2502.925634
Locus_256_Transcript_3/36	DNA-directed RNA polymerase II subunit RPB7	DNA-directed RNA polymerase II		995.2879747	1071.66138	1305.86373	1236.311468	1228.441181	1367.436713	1394.407715	1375.218665
Locus_175_Transcript_149/384	Triacylglycerol lipase 2	Myzus persicae-induced lipase 1	AT5G14180	45.52058391	1065.209333	912.1062922	552.5381726	19.81929629	33.79536895	23.39702788	5.51593359
Locus_150_Transcript_8/29	Ubiquitin-conjugating enzyme E2-17 kDa	ubiquitin-conjugating enzyme 28		1488.779397	1065.144299	880.5936364	907.4668115	678.362135	565.7406993	496.4849254	540.4881666
Locus_776_Transcript_1/35	Auxin response factor 17	auxin response factor 19		1149.783719	1063.866604	1465.027042	1284.975106	1132.372981	1030.044582	1180.279793	1258.239512
Locus_3498_Transcript_15/17	ADP,ATP carrier protein, mitochondrial	ADP/ATP carrier 2	AT5G13490	992.1859207	1048.81107	1065.244068	967.8899512	764.3384123	742.3093781	917.3549106	823.2607572
Locus_419_Transcript_9/15	Adenosylhomocysteinase	S-adenosyl-L-homocysteine hydrolase	AT4G13940	626.7516042	1040.130357	788.5714422	617.5999901	930.7693084	1261.946666	1216.065418	951.8874431
Locus_1519_Transcript_2/70	Calcium-transporting ATPase type 2C member 1	hypothetical protein		1540.566062	1033.807715	1315.445883	1435.364314	1416.682744	1328.114795	1464.159487	1718.344587
Locus_879_Transcript_29/29	Calnexin homolog	calnexin 1	AT5G07340	1658.634687	1029.606585	1096.486136	831.4299139	1237.859617	1194.681975	1338.710904	1066.529335
Locus_491_Transcript_1/12	NDR1/HIN1-like protein 13	Late embryogenesis abundant (LEA) hydroxyproline-rich glycoprotein family		2161.445414	1028.383609	640.2792873	632.6542297	699.8184762	570.4173376	409.8312174	426.3425022
Locus_3892_Transcript_6/12	Calreticulin-1	calreticulin 1a	AT1G56340	1061.913883	1028.238062	1038.254299	909.0499988	874.4645798	1065.162035	1253.161133	1001.969487
Locus_277_Transcript_63/73	Elongation factor 1-alpha	GTP binding Elongation factor Tu family protein	AT1G07920	577.7080892	1022.406084	965.8230108	862.0348455	1144.659809	1215.795494	1490.336393	1308.886415
Locus_330_Transcript_18/23	Pyruvate dehydrogenase E1 component subunit beta-1, mitochondrial	Transketolase family protein	AT5G50850	1499.616904	1006.011888	970.471593	1036.003465	498.3861501	402.5201761	420.3896297	510.9503176
Locus_1605_Transcript_8/29	Fructose-bisphosphate aldolase 3, chloroplastic	Aldolase superfamily protein	AT2G01140	730.1106717	984.8729996	623.594909	541.093914	410.5585846	446.0687825	444.8754634	424.8398048
Locus_5399_Transcript_4/4	Pentafunctional AROM polypeptide	plant/protein (Protein of unknown function%2C DUF538)		119.7243261	981.0461408	2327.754756	2595.74026	38.15350344	57.29781875	56.19903887	76.20455165
Locus_687_Transcript_35/63	Pectin acetylesterase 8	Pectinacetylesterase family protein	AT4G19420	187.8061568	977.4192647	611.2822288	408.1970687	353.4941477	556.3531781	310.6433245	295.2809381
Locus_134_Transcript_39/223	Ribosomal protein S2, mitochondrial	ribosomal protein S2	AT3G03600	1222.084191	975.3056027	753.1250695	835.7709752	809.4537231	650.2682115	691.5454767	587.8474011
Locus_375_Transcript_41/123	Aldehyde dehydrogenase family 3 member F1	aldehyde dehydrogenase 3F1	AT4G36250	2248.725084	961.460485	767.0263508	1394.01121	199.9870168	174.9328407	137.0336977	146.8945009
Locus_4331_Transcript_4/4	Glutamate dehydrogenase 1, mitochondrial	glutamate dehydrogenase 1	AT5G18170	1192.132871	961.0059454	602.761101	615.0932845	1197.021845	783.754181	767.7736085	924.9567508
Locus_445_Transcript_42/50	Glutamate synthase [NADH], amyloplastic	NADH-dependent glutamate synthase 1	AT5G53460	781.3541429	955.7021299	1008.789594	907.2363701	221.4291408	287.7051434	246.2683023	256.2754523
Locus_555_Transcript_6/24	Uncharacterized protein C24B11.05	Haloacid dehalogenase-like hydrolase (HAD) superfamily protein	AT5G02230	1385.920137	951.7896954	1250.991455	1486.900152	189.1120279	129.3163237	170.0840554	207.289254
Locus_1014_Transcript_10/13	60S ribosomal protein L5	ribosomal protein L5	AT3G25520	765.2545897	941.327019	1143.595401	1068.850133	1238.426496	1309.467628	1706.968912	1515.46449
Locus_16242_Transcript_1/1	Late embryogenesis abundant protein 7	late embryogenesis abundant protein-related / LEA protein-like protein		13.79863084	936.1557335	266.3248234	41.95170511	22.91304593	53.3144702	19.90257392	6.788553424
Locus_391_Transcript_23/79	Agamous-like MADS-box protein MADS4	K-box region and MADS-box transcription factor family protein	AT1G24260	1038.806238	925.5814565	945.7167255	919.8114737	242.1269481	308.9154783	252.7285407	325.0636938
Locus_1444_Transcript_18/23	Histone H3	Histone superfamily protein		423.7470155	925.0857664	1041.808115	903.6581984	523.046129	1021.565825	1054.177506	1000.890413
Locus_1621_Transcript_12/12	Formate dehydrogenase, mitochondrial	formate dehydrogenase	AT5G14780	1327.703051	924.8110681	946.2523476	1057.352131	433.1404385	510.8974467	396.2556697	476.5682118
Locus_50_Transcript_16/41	Phosphoenolpyruvate carboxykinase (ATP) 1	phosphoenolpyruvate carboxykinase 1	AT4G37870	1484.550568	921.1131625	1289.355611	1321.816288	1098.711973	870.3901529	799.4164459	963.9952294
Locus_778_Transcript_136/201	DnaJ protein homolog	DNAJ homologue 3	AT3G44110	940.2329395	920.3464892	906.0165091	914.1123079	1478.358505	1281.142589	1167.898544	1401.115032
Locus_11_Transcript_97/170	ADP-ribosylation factor 2	ADP-ribosylation factor A1F		640.2903999	916.1144666	816.9449847	885.9561678	638.308737	733.6992542	709.5020491	624.5385562
Locus_469_Transcript_1/16	60S ribosomal protein L19-1	Ribosomal protein L19e family protein	AT4G02230	984.3462736	912.424705	1014.786859	1080.422078	2721.220095	2488.02499	2189.222922	2307.451969
Locus_1406_Transcript_10/10	Succinate--CoA ligase [ADP-forming] subunit beta, mitochondrial	ATP citrate lyase (ACL) family protein	AT2G20420	749.1623256	896.3568484	801.1604352	730.3879259	657.6996622	662.6928859	666.0647518	753.8415356
Locus_1575_Transcript_4/5	Methionine gamma-lyase	methionine gamma-lyase	AT1G64660	1460.613349	895.3466669	626.1583752	704.3453548	101.3199958	81.81570051	64.73083468	60.40045324
Locus_40_Transcript_6/11	Ubiquitin-conjugating enzyme E2-17 kDa	ubiquitin-conjugating enzyme 28	AT1G64230	1238.77835	893.4710629	957.0445938	954.4449888	1818.205745	1425.235002	1510.350959	1772.007594
Locus_286_Transcript_3/11	Peptidyl-prolyl cis-trans isomerase CYP20-1	rotamase CYP 7	AT5G58710	828.7707547	886.5560994	868.3443886	855.6826142	532.7176827	587.1143979	645.5355997	621.2139801
Locus_3427_Transcript_3/14	Actin-depolymerizing factor	actin depolymerizing factor 6		924.9336454	871.6909343	844.9121303	847.6297823	775.9774941	720.0122696	782.2820027	773.408512
Locus_672_Transcript_9/27	Ubiquitin-NEDD8-like protein RUB1	related to ubiquitin 1		763.0180965	868.3938018	688.0032606	667.7883934	831.7588669	824.9610846	691.7893779	710.6877039
Locus_1443_Transcript_2/15	2-oxoglutarate dehydrogenase, mitochondrial	2-oxoglutarate dehydrogenase%2C E1 component	AT3G55410	739.3619801	862.5919589	656.3967437	615.3136783	306.2150323	285.2375234	286.018516	329.3258355
Locus_48_Transcript_4/10	Cytochrome c oxidase subunit 6B-like protein new16	Cox19-like CHCH family protein		606.0699705	853.0560832	528.7529844	517.1140872	220.5637421	259.1606578	203.1966376	193.6145143
Locus_136_Transcript_3/6	ATP synthase subunit beta, mitochondrial	ATP synthase alpha/beta family protein	AT5G08670	721.5146348	845.4975017	692.8908825	614.5447782	599.7833414	566.8901192	549.7821521	556.6878384
Locus_2285_Transcript_10/32	Probable ubiquitin-conjugating enzyme E2 33	ubiquitin-conjugating enzyme 33	AT1G17280	924.152894	843.6623878	839.837382	933.2086544	2443.085433	1965.274464	1414.842429	1591.4198
Locus_317_Transcript_18/49	Actin	actin-11	AT3G12110	554.2551274	833.6849801	802.0171559	717.6108959	952.0651318	930.9863404	1109.222407	1025.776879
Locus_3182_Transcript_10/54	40S ribosomal protein S25	Ribosomal protein S25 family protein		1021.918862	831.425875	966.315697	955.4800054	1170.752372	1132.035226	1254.813926	1200.216099
Locus_51_Transcript_4/17	YTH domain-containing protein ECT2	evolutionarily conserved C-terminal region 2	AT3G13460	648.8603873	829.9523849	1042.444391	1096.688506	3379.961799	2853.697179	2719.616703	3558.687798
Locus_268_Transcript_1/4	Stem-specific protein TSJT1	aluminum induced protein with YGL and LRDR motifs	AT3G22850	716.8198457	825.8541142	652.9257391	652.8230823	308.2328981	277.6431737	299.4899646	335.8718343
Locus_4733_Transcript_10/13	Histone H3.2	Histone superfamily protein		512.5243938	813.7304394	1069.718115	714.3200154	1038.239892	1348.585815	1801.987901	1460.774443
Locus_150_Transcript_4/29	Ubiquitin-conjugating enzyme E2-17 kDa	ubiquitin-conjugating enzyme 28		690.8310719	804.9636709	697.5700593	776.265677	1920.333174	2200.780598	1652.8412	1960.5617
Locus_4823_Transcript_2/5	Cytochrome c oxidase subunit 6a, mitochondrial	cytochrome c oxidase-like protein		616.7862709	802.6385719	688.5536532	631.6992169	288.3985734	291.2485385	288.9883234	296.8815584
Locus_1647_Transcript_4/14	Ricin B-like lectin R40G3	hydroxyproline-rich glycoprotein family protein		646.9200533	799.5690323	576.1177926	582.8334256	2665.885185	2100.717429	2204.004676	2346.312977
Locus_93_Transcript_575/850	Probable small nuclear ribonucleoprotein Sm D2	Small nuclear ribonucleoprotein family protein		1038.008686	795.275026	961.1093068	1031.929447	1421.840273	1337.197186	1509.92884	1541.004222
Locus_663_Transcript_28/48	Cycloartenol synthase 2	cycloartenol synthase 1	AT2G07050	470.7258988	793.1094205	839.4825171	1545.127951	38.76477217	31.64329309	31.80409465	41.64590468
Locus_175_Transcript_141/384	Triacylglycerol lipase 2	Myzus persicae-induced lipase 1	AT5G14180	75.42782133	790.9991106	775.2271044	614.6139015	18.4719208	22.40811732	14.79720259	3.794078725
Locus_317_Transcript_45/49	Actin	actin 3	AT2G37620	663.7919029	789.7446064	826.9432077	769.3835033	835.3581132	906.1636359	976.3191836	864.9176387
Locus_15680_Transcript_7/11	Benzaldehyde dehydrogenase, mitochondrial	aldehyde dehydrogenase 2B7	AT1G23800	715.6992328	787.6312123	598.0377039	599.1615151	555.2331817	564.4046743	372.2444505	403.3175452
Locus_317_Transcript_25/49	Actin-97	actin-11	AT3G12110	276.7686557	782.2545852	605.7519375	563.6268792	500.69926	436.2110337	509.424228	496.1829457
Locus_317_Transcript_49/49	Actin-97	actin-11	AT3G12110	625.5505064	768.3455942	816.9262754	786.2213293	792.7610717	774.3763922	859.4860538	798.7814446
Locus_93_Transcript_584/850	Probable small nuclear ribonucleoprotein Sm D2	Small nuclear ribonucleoprotein family protein		698.4150354	766.9906838	940.8725214	937.1377734	926.1564551	996.8575037	1283.893438	1089.264151
Locus_4631_Transcript_3/17	Fructose-bisphosphate aldolase 1, cytoplasmic	Aldolase superfamily protein	AT2G36460	319.6418662	766.3447063	495.6700698	442.4654809	224.1787067	277.6310061	251.1178404	239.9977221
Locus_93_Transcript_120/850	Profilin-1	profilin 4		748.1023305	757.2627282	774.7150596	704.7483302	525.5296629	442.3889481	451.6976477	446.6880503
Locus_644_Transcript_3/25	Calmodulin	calmodulin 5		888.9558767	756.954271	814.9930193	798.8257952	1466.637543	1438.457022	1467.405797	1454.896417
